Exemplar;Observed;Predicted
P1;0,573;0,541
O11;0,847;0,782
O12;0,767;0,782
O13;0,860;0,853
O14;0,840;0,796
O15;0,893;0,856
O16;0,807;0,802
N1l;0,120;0,224
N1m ;0,140;0,115
N1h;0,200;0,221
