Exemplar;Observed;Predicted
P2;0,795;0,719
O21;0,647;0,821
O22;0,727;0,834
O23;0,813;0,813
O24;0,867;0,829
O25;0,807;0,789
O26;0,753;0,795
N2l;0,707;0,751
N2m ;0,653;0,626
N2h;0,267;0,275
